,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Karonga,88,MW,1594787333,71,-9.93,33.93,64.62,4.34
1,Yellowknife,90,CA,1594787136,93,62.46,-114.35,55.4,18.34
2,East London,53,ZA,1594787334,57,-33.02,27.91,51.8,8.05
3,Los Llanos de Aridane,1,ES,1594787334,73,28.66,-17.92,71.6,13.87
4,Ushuaia,90,AR,1594787299,92,-54.8,-68.3,30.2,4.7
5,San Patricio,40,MX,1594787335,86,19.22,-104.7,81.03,7.87
6,Örnsköldsvik,100,SE,1594787335,93,63.29,18.72,51.8,3.36
7,Kavieng,100,PG,1594787335,61,-2.57,150.8,85.21,4.18
8,Avarua,56,CK,1594787227,64,-21.21,-159.78,69.8,6.93
9,Kendari,75,ID,1594787335,76,-3.94,122.5,82.76,1.3
10,Harper,72,LR,1594787336,79,4.38,-7.72,73.33,7.83
11,Okhotsk,11,RU,1594787336,64,59.38,143.3,69.78,7.61
12,Mackay,8,AU,1594787336,49,-21.15,149.2,72.0,14.99
13,Yara,18,CU,1594787336,91,20.28,-76.95,76.91,3.31
14,Busselton,82,AU,1594787092,82,-33.65,115.33,55.99,11.01
15,Bintulu,40,MY,1594787337,79,3.17,113.03,86.0,4.7
16,Korla,29,CN,1594787337,16,41.76,86.15,87.4,3.51
17,Jamestown,1,US,1594787337,87,42.1,-79.24,62.01,1.19
18,Albany,53,US,1594786581,75,42.6,-73.97,69.01,2.93
19,Mildura,70,AU,1594787338,51,-34.2,142.15,61.0,6.93
20,Provideniya,90,RU,1594787338,93,64.38,-173.3,48.2,8.95
21,Punta Arenas,88,CL,1594787057,91,-53.15,-70.92,32.0,5.82
22,Nikolskoye,96,RU,1594787338,82,59.7,30.79,60.01,4.47
23,Henties Bay,0,NA,1594787339,37,-22.12,14.28,63.39,6.69
24,Ambilobe,3,MG,1594787339,80,-13.2,49.05,67.35,2.84
25,Hobart,75,AU,1594787056,76,-42.88,147.33,52.0,4.7
26,Monteagudo,100,BO,1594787339,88,-19.82,-63.98,57.74,3.71
27,Castro,6,BR,1594787190,94,-24.79,-50.01,49.51,4.92
28,Kaitangata,28,NZ,1594787340,78,-46.28,169.85,45.0,4.0
29,Barrow,90,US,1594787315,86,71.29,-156.79,37.4,13.87
30,Saint-Philippe,18,RE,1594787340,68,-21.36,55.77,73.4,8.05
31,Bredasdorp,0,ZA,1594787341,81,-34.53,20.04,42.8,3.36
32,Rikitea,100,PF,1594786875,86,-23.12,-134.97,72.55,9.4
33,Rawlins,1,US,1594787341,25,41.79,-107.24,62.6,10.33
34,Carnarvon,90,AU,1594787097,49,-24.87,113.63,73.4,10.29
35,Hilo,90,US,1594787061,69,19.73,-155.09,78.8,5.82
36,Lata,0,PT,1594787342,81,40.16,-8.33,71.01,6.13
37,Kasempa,0,ZM,1594787342,54,-13.46,25.83,46.69,4.41
38,Vaini,75,TO,1594787342,78,-21.2,-175.2,73.4,10.29
