,City,Cloudiness,Country,Date,Humidity,Latitude,Longitude,Max Temp,Wind Speed
0,Roald,100,NO,1594698246,87,62.58,6.13,53.6,3.36
1,Maltahöhe,0,NA,1594698246,87,-24.83,16.98,34.36,3.67
2,Tuktoyaktuk,20,CA,1594698247,52,69.45,-133.04,64.4,5.82
3,Atuona,44,PF,1594698120,78,-9.8,-139.03,79.36,16.46
4,Saint-Joseph,37,RE,1594698100,68,-21.37,55.62,66.2,4.7
5,Tuatapere,79,NZ,1594698020,78,-46.13,167.68,47.39,6.13
6,Westport,40,US,1594698152,57,41.14,-73.36,78.8,9.17
7,Barrow,90,US,1594698027,80,71.29,-156.79,37.4,11.41
8,Castro,16,BR,1594698248,93,-24.79,-50.01,60.12,4.85
9,Mattru,100,SL,1594698248,96,7.62,-11.83,73.26,2.93
10,La Ronge,75,CA,1594698049,67,55.1,-105.28,60.8,6.93
11,Walvis Bay,0,NA,1594698044,93,-22.96,14.51,50.0,3.36
12,Avarua,100,CK,1594698137,60,-21.21,-159.78,69.8,9.17
13,Shakawe,0,BW,1594698249,46,-18.37,21.85,42.62,2.15
14,Hithadhoo,100,MV,1594697833,70,-0.6,73.08,84.4,5.86
15,Mataura,90,NZ,1594698116,86,-46.19,168.86,45.91,3.65
16,Provideniya,90,RU,1594698043,81,64.38,-173.3,50.0,13.42
17,Kapaa,75,US,1594698114,74,22.08,-159.32,80.6,18.34
18,Mumford,89,GH,1594698250,88,5.26,-0.76,74.64,13.27
19,Punta Arenas,99,CL,1594697855,89,-53.15,-70.92,32.0,2.24
20,Sawtell,75,AU,1594698251,48,-30.38,153.1,64.4,23.04
21,Jamestown,40,US,1594697906,82,42.1,-79.24,63.0,6.93
22,Saskylakh,28,RU,1594698119,37,71.92,114.08,74.12,10.67
23,Vikulovo,18,RU,1594698251,58,56.82,70.61,73.53,5.46
24,Rikitea,100,PF,1594698114,84,-23.12,-134.97,72.82,15.46
25,New Norfolk,12,AU,1594698252,79,-42.78,147.06,51.01,1.77
26,São José da Coroa Grande,26,BR,1594698252,85,-8.9,-35.15,74.32,5.17
27,Loandjili,40,CG,1594698252,94,-4.76,11.86,69.8,4.81
28,Dhārchula,100,IN,1594698253,73,29.85,80.53,72.3,1.25
29,Saint George,1,US,1594697969,12,37.1,-113.58,100.4,20.8
30,Ushuaia,20,AR,1594697845,92,-54.8,-68.3,32.0,18.34
31,Yeppoon,0,AU,1594698253,37,-23.13,150.73,68.0,13.87
32,George Town,20,MY,1594698050,79,5.41,100.34,86.0,3.31
33,Lumsden,20,CA,1594698254,76,50.65,-104.87,57.99,10.29
34,Khatanga,83,RU,1594698117,39,71.97,102.5,73.44,11.63
35,East London,0,ZA,1594698115,46,-33.02,27.91,57.2,14.99
36,Butaritari,97,KI,1594698254,78,3.07,172.79,80.78,10.6
37,Albany,32,US,1594698012,69,42.6,-73.97,73.99,7.47
38,Mahuva,84,IN,1594698255,75,21.09,71.76,85.32,15.52
39,Manaus,75,BR,1594698255,88,-3.1,-60.02,75.2,4.7
40,Xinqing,1,CN,1594698255,37,48.23,129.5,90.64,3.96
41,Banyuwangi,25,ID,1594698255,68,-8.23,114.36,83.71,5.88
42,Busselton,39,AU,1594698114,54,-33.65,115.33,59.0,17.81
43,Turukhansk,99,RU,1594698195,93,65.82,87.98,54.9,9.37
44,Hong Kong,19,HK,1594698157,62,22.29,114.16,93.99,5.99
45,Matara,100,LK,1594698256,73,5.95,80.54,84.56,10.4
46,Chui,0,UY,1594698121,79,-33.7,-53.46,36.7,10.58
47,Luwuk,66,ID,1594698257,75,-0.95,122.79,82.71,2.17
48,Port Alfred,21,ZA,1594698114,51,-33.59,26.89,54.09,28.97
49,Hudson Bay,96,CA,1594698257,81,52.85,-102.38,55.83,10.33
50,Airai,22,TL,1594698115,57,-8.93,125.41,71.35,5.66
51,Lumby,1,CA,1594698258,43,50.25,-118.97,69.8,5.82
52,Tasiilaq,54,GL,1594698113,86,65.61,-37.64,41.0,8.05
53,San Carlos,79,VE,1594698258,93,9.66,-68.58,73.65,2.13
54,Ekibastuz,0,KZ,1594698258,50,51.67,75.37,76.37,9.04
55,Antsohihy,3,MG,1594698258,79,-14.88,47.99,63.5,3.76
56,Sept-Îles,75,CA,1594697904,87,50.2,-66.38,61.0,5.68
57,Ilulissat,100,GL,1594698084,81,69.22,-51.1,44.6,6.93
58,Ostrovnoy,53,RU,1594698115,73,68.05,39.51,49.5,5.73
59,Bluff,85,NZ,1594698046,75,-46.6,168.33,48.42,11.95
60,Clyde River,1,CA,1594698023,87,70.47,-68.59,42.8,2.24
61,Puerto Ayora,18,EC,1594698123,92,-0.74,-90.35,66.99,1.99
62,Diamantino,12,BR,1594698144,47,-14.41,-56.45,74.16,1.77
63,Huarmey,0,PE,1594698156,84,-10.07,-78.15,61.9,6.04
64,Vila Franca do Campo,20,PT,1594698260,88,37.72,-25.43,64.4,6.93
65,Salamanca,58,ES,1594698260,67,40.83,-6.0,64.0,8.05
66,Saint-Augustin,100,CA,1594698148,87,51.23,-58.65,51.46,15.95
67,Hermanus,100,ZA,1594698114,71,-34.42,19.23,48.99,4.0
68,Prince Rupert,90,CA,1594698261,72,54.32,-130.32,59.0,3.36
69,Panguna,86,PG,1594698261,85,-6.32,155.48,77.05,0.74
70,São Filipe,38,CV,1594698047,84,14.9,-24.5,77.47,1.45
71,Bonoua,40,CI,1594698262,94,5.27,-3.6,77.0,6.93
72,Qaanaaq,1,GL,1594698117,72,77.48,-69.36,41.52,2.77
73,Hobart,75,AU,1594697975,70,-42.88,147.33,51.01,5.82
74,Kavieng,93,PG,1594697967,69,-2.57,150.8,84.27,7.78
75,Hilo,20,US,1594698123,58,19.73,-155.09,82.4,6.93
76,Cabo San Lucas,5,MX,1594697979,43,22.89,-109.91,87.8,4.7
77,Kumul,46,CN,1594698263,23,42.8,93.45,84.52,2.73
78,Ribeira Grande,17,PT,1594697950,79,38.52,-28.7,68.45,8.41
79,Inhambane,0,MZ,1594698263,69,-23.86,35.38,59.25,10.4
80,Savé,87,BJ,1594698150,96,8.04,2.49,70.81,5.97
81,Belfast,98,GB,1594697972,81,54.58,-5.93,53.6,8.05
82,Nikki,91,BJ,1594698264,95,9.94,3.21,70.43,10.31
83,Arraial do Cabo,9,BR,1594698045,68,-22.97,-42.03,73.08,6.93
84,Thompson,75,CA,1594698116,93,55.74,-97.86,60.8,4.7
